District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Gudihathnur,21-Feb-23,0,25.7,76.2
Adilabad,Gudihathnur,22-Feb-23,0,24.8,74.5
Adilabad,Gudihathnur,23-Feb-23,0,23.1,62.2
Adilabad,Gudihathnur,24-Feb-23,0,22.9,73.9
Adilabad,Gudihathnur,25-Feb-23,0,23.2,63.6
Adilabad,Gudihathnur,26-Feb-23,0,23.1,80.9
Adilabad,Gudihathnur,27-Feb-23,0,23.2,65.3
Adilabad,Gudihathnur,28-Feb-23,0,30.9,83.0
Adilabad,Ichoda,02-Apr-23,0,25.2,70.9
Adilabad,Ichoda,02-Aug-23,0,36.4,78.0
Adilabad,Ichoda,02-Dec-23,0,21.7,75.8
Adilabad,Ichoda,02-Feb-23,0,46.8,68.4
Adilabad,Ichoda,02-Jan-23,0,48.9,75.9
Adilabad,Ichoda,02-Jul-23,0,24.2,68.3
Adilabad,Ichoda,02-Jun-23,0,19.3,68.7
Adilabad,Ichoda,02-Mar-23,0,26.9,52.6
Adilabad,Ichoda,02-May-23,0,24.6,77.3
Adilabad,Ichoda,02-Nov-23,0,19.0,81.1
Adilabad,Ichoda,02-Oct-23,0,20.1,71.3
Adilabad,Ichoda,02-Sep-23,0,34.5,81.2
Adilabad,Ichoda,13-Feb-23,0,32.5,72.7
Adilabad,Ichoda,14-Feb-23,0,20.6,51.1
Adilabad,Ichoda,15-Feb-23,0,18.6,64.2
Adilabad,Ichoda,16-Feb-23,0,20.1,66.7
Adilabad,Ichoda,17-Feb-23,0,21.5,74.5
Adilabad,Ichoda,18-Feb-23,0,27.8,71.7
Adilabad,Ichoda,19-Feb-23,0,30.5,66.5
Adilabad,Ichoda,20-Feb-23,0,30.1,66.4
Adilabad,Ichoda,21-Feb-23,0,23.2,81.7
Adilabad,Ichoda,22-Feb-23,0,23.6,53.8
Adilabad,Ichoda,23-Feb-23,0,19.7,68.7
Adilabad,Ichoda,24-Feb-23,0,19.3,65.9
Adilabad,Ichoda,25-Feb-23,0,19.5,61.4
Adilabad,Ichoda,26-Feb-23,0,17.5,68.6
Adilabad,Ichoda,27-Feb-23,0,19.1,71.5
Adilabad,Ichoda,28-Feb-23,0,27.3,76.4
Adilabad,Inderavelly,02-Apr-23,0,22.8,62.8
Adilabad,Inderavelly,02-Aug-23,0,30.5,80.1
Adilabad,Inderavelly,02-Dec-23,0,19.6,76.8
Adilabad,Inderavelly,02-Feb-23,0,43.3,69.3
Adilabad,Inderavelly,02-Jan-23,0,44.3,76.5
Adilabad,Inderavelly,02-Jul-23,0,20.3,75.1
Adilabad,Inderavelly,02-Jun-23,0,16.7,55.9
Adilabad,Inderavelly,02-Mar-23,0,23.9,72.0
Adilabad,Inderavelly,02-May-23,0,22.1,54.5
Adilabad,Inderavelly,02-Nov-23,0,16.2,66.6
Adilabad,Inderavelly,02-Oct-23,0,20.3,57.3
Adilabad,Inderavelly,02-Sep-23,0,30.3,75.4
Adilabad,Inderavelly,13-Feb-23,0,28.9,67.5
Adilabad,Inderavelly,14-Feb-23,0,19.4,53.6
Adilabad,Inderavelly,15-Feb-23,0,18.0,54.9
Adilabad,Inderavelly,16-Feb-23,0,18.9,53.5
Adilabad,Inderavelly,17-Feb-23,0,19.6,75.4
Adilabad,Inderavelly,18-Feb-23,0,24.8,61.1
Adilabad,Inderavelly,19-Feb-23,0,26.4,74.8
Adilabad,Inderavelly,20-Feb-23,0,27.8,76.0
Adilabad,Inderavelly,21-Feb-23,0,22.5,70.7
Adilabad,Inderavelly,22-Feb-23,0,19.8,61.1
Adilabad,Inderavelly,23-Feb-23,0,16.3,55.3
Adilabad,Inderavelly,24-Feb-23,0,14.3,68.0
Adilabad,Inderavelly,25-Feb-23,0,17.5,47.3
Adilabad,Inderavelly,26-Feb-23,0,15.7,56.3
Adilabad,Inderavelly,27-Feb-23,0,17.7,59.0
Adilabad,Inderavelly,28-Feb-23,0,24.9,60.8
Adilabad,Jainad,02-Apr-23,0,16.4,88.3
Adilabad,Jainad,02-Aug-23,0,21.0,98.2
Adilabad,Jainad,02-Dec-23,0,8.7,91.3
Adilabad,Jainad,02-Feb-23,0,34.4,100.0
Adilabad,Jainad,02-Jan-23,0,40.0,93.7
Adilabad,Jainad,02-Jul-23,0,11.2,92.6
Adilabad,Jainad,02-Jun-23,0,11.2,91.9
Adilabad,Jainad,02-Mar-23,0,12.3,90.6
Adilabad,Jainad,02-May-23,0,11.7,91.1
Adilabad,Jainad,02-Nov-23,0,7.9,90.1
Adilabad,Jainad,02-Oct-23,0,15.2,93.0
Adilabad,Jainad,02-Sep-23,0,20.1,100.0
Adilabad,Jainad,13-Feb-23,0,18.0,93.9
Adilabad,Jainad,14-Feb-23,0,8.5,88.2
Adilabad,Jainad,15-Feb-23,0,9.8,88.9
Adilabad,Jainad,16-Feb-23,0,9.2,87.6
Adilabad,Jainad,17-Feb-23,0,8.6,86.4
Adilabad,Jainad,18-Feb-23,0,14.7,89.6
Adilabad,Jainad,19-Feb-23,0,18.2,89.6
Adilabad,Jainad,20-Feb-23,0,15.4,93.0
Adilabad,Jainad,21-Feb-23,0,14.2,94.2
Adilabad,Jainad,22-Feb-23,0,12.9,85.9
Adilabad,Jainad,23-Feb-23,0,8.1,84.8
Adilabad,Jainad,24-Feb-23,0,6.0,75.8
Adilabad,Jainad,25-Feb-23,0,9.3,76.7
Adilabad,Jainad,26-Feb-23,0,8.6,76.7
Adilabad,Jainad,27-Feb-23,0,9.3,74.5
Adilabad,Jainad,28-Feb-23,0,12.9,74.1
Adilabad,Mavala,02-Apr-23,0,20.7,72.2
Adilabad,Mavala,02-Aug-23,0,29.7,86.0
Adilabad,Mavala,02-Dec-23,0,17.8,78.2
Adilabad,Mavala,02-Feb-23,0,42.9,92.7
Adilabad,Mavala,02-Jan-23,0,47.2,81.8
Adilabad,Mavala,02-Jul-23,0,20.9,79.9
Adilabad,Mavala,02-Jun-23,0,18.0,64.3
Adilabad,Mavala,02-Mar-23,0,23.2,55.8
Adilabad,Mavala,02-May-23,0,22.7,60.6
Adilabad,Mavala,02-Nov-23,0,18.4,80.4
