District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Gadiguda,03-Mar-23,0.0,27.9,75.0
Adilabad,Gadiguda,03-May-23,0.0,16.5,74.7
Adilabad,Gadiguda,03-Nov-23,0.0,21.7,61.6
Adilabad,Gadiguda,03-Oct-23,0.0,16.9,57.0
Adilabad,Gadiguda,03-Sep-23,0.0,17.5,51.8
Adilabad,Gadiguda,13-Mar-23,0.0,18.7,52.4
Adilabad,Gadiguda,14-Mar-23,0.0,15.8,49.0
Adilabad,Gadiguda,15-Mar-23,0.0,17.0,48.9
Adilabad,Gadiguda,16-Mar-23,0.0,19.1,69.1
Adilabad,Gadiguda,17-Mar-23,0.0,31.4,69.3
Adilabad,Gadiguda,18-Mar-23,0.0,41.6,89.5
Adilabad,Gadiguda,19-Mar-23,1.5,60.7,83.1
Adilabad,Gadiguda,20-Mar-23,0.8,37.3,90.8
Adilabad,Gadiguda,21-Mar-23,0.5,41.1,92.2
Adilabad,Gadiguda,22-Mar-23,0.0,32.8,83.3
Adilabad,Gadiguda,23-Mar-23,0.0,23.0,85.3
Adilabad,Gadiguda,24-Mar-23,0.0,23.5,82.5
Adilabad,Gadiguda,25-Mar-23,0.0,25.0,89.5
Adilabad,Gadiguda,26-Mar-23,2.0,45.8,98.1
Adilabad,Gadiguda,27-Mar-23,2.3,36.6,96.4
Adilabad,Gadiguda,28-Mar-23,0.0,16.3,61.7
Adilabad,Gadiguda,29-Mar-23,0.0,12.9,77.7
Adilabad,Gadiguda,30-Mar-23,0.0,23.0,76.9
Adilabad,Gadiguda,31-Mar-23,0.0,20.7,71.8
Adilabad,Gudihathnur,03-Apr-23,0.0,33.7,85.0
Adilabad,Gudihathnur,03-Aug-23,0.0,40.9,85.7
Adilabad,Gudihathnur,03-Dec-23,0.0,30.9,83.0
Adilabad,Gudihathnur,03-Feb-23,0.0,30.9,80.3
Adilabad,Gudihathnur,03-Jan-23,0.0,34.8,87.1
Adilabad,Gudihathnur,03-Jul-23,0.0,31.0,78.3
Adilabad,Gudihathnur,03-Jun-23,0.0,31.0,82.8
Adilabad,Gudihathnur,03-Mar-23,0.0,32.6,86.1
Adilabad,Gudihathnur,03-May-23,0.0,26.4,76.8
Adilabad,Gudihathnur,03-Nov-23,0.0,30.9,77.7
Adilabad,Gudihathnur,03-Oct-23,0.0,26.4,79.4
Adilabad,Gudihathnur,03-Sep-23,0.0,30.7,79.2
Adilabad,Gudihathnur,13-Mar-23,0.0,30.9,80.7
Adilabad,Gudihathnur,14-Mar-23,0.0,26.5,82.8
Adilabad,Gudihathnur,15-Mar-23,0.0,26.8,79.8
Adilabad,Gudihathnur,16-Mar-23,0.0,31.3,73.3
Adilabad,Gudihathnur,17-Mar-23,0.7,46.8,96.6
Adilabad,Gudihathnur,18-Mar-23,0.0,56.1,95.3
Adilabad,Gudihathnur,19-Mar-23,3.6,63.6,97.2
Adilabad,Gudihathnur,20-Mar-23,1.6,49.1,92.8
Adilabad,Gudihathnur,21-Mar-23,0.0,39.4,94.0
Adilabad,Gudihathnur,22-Mar-23,0.0,39.4,88.4
Adilabad,Gudihathnur,23-Mar-23,0.0,34.5,87.4
Adilabad,Gudihathnur,24-Mar-23,0.0,34.7,89.8
Adilabad,Gudihathnur,25-Mar-23,0.0,31.9,88.2
Adilabad,Gudihathnur,26-Mar-23,0.0,47.5,91.9
Adilabad,Gudihathnur,27-Mar-23,1.3,55.0,91.3
Adilabad,Gudihathnur,28-Mar-23,0.0,26.3,80.7
Adilabad,Gudihathnur,29-Mar-23,0.0,24.3,88.6
Adilabad,Gudihathnur,30-Mar-23,0.0,31.4,85.1
Adilabad,Gudihathnur,31-Mar-23,0.0,30.9,87.3
Adilabad,Ichoda,03-Apr-23,0.0,31.3,75.3
Adilabad,Ichoda,03-Aug-23,0.0,39.4,77.2
Adilabad,Ichoda,03-Dec-23,0.0,25.6,72.0
Adilabad,Ichoda,03-Feb-23,0.0,29.1,78.1
Adilabad,Ichoda,03-Jan-23,0.0,29.2,79.9
Adilabad,Ichoda,03-Jul-23,0.0,27.7,62.9
Adilabad,Ichoda,03-Jun-23,0.0,28.9,68.1
Adilabad,Ichoda,03-Mar-23,0.0,29.3,76.8
Adilabad,Ichoda,03-May-23,0.0,25.1,73.2
Adilabad,Ichoda,03-Nov-23,0.0,26.0,61.7
Adilabad,Ichoda,03-Oct-23,0.0,23.4,63.3
Adilabad,Ichoda,03-Sep-23,0.0,27.3,70.0
Adilabad,Ichoda,13-Mar-23,0.0,27.2,70.8
Adilabad,Ichoda,14-Mar-23,0.0,25.4,72.0
Adilabad,Ichoda,15-Mar-23,0.0,23.3,65.9
Adilabad,Ichoda,16-Mar-23,0.0,29.1,68.1
Adilabad,Ichoda,17-Mar-23,0.7,40.5,93.4
Adilabad,Ichoda,18-Mar-23,0.0,49.1,89.8
Adilabad,Ichoda,19-Mar-23,18.7,58.2,97.6
Adilabad,Ichoda,20-Mar-23,0.0,47.9,88.8
Adilabad,Ichoda,21-Mar-23,0.0,38.4,91.7
Adilabad,Ichoda,22-Mar-23,0.0,33.9,81.0
Adilabad,Ichoda,23-Mar-23,0.0,34.1,81.9
