District,Mandal,Year,Month,total_rain_mm,rain_days,max_daily_rain,avg_min_humidity,avg_max_humidity,max_dry_streak,normal_rain_mm,rain_deviation_pct,drought_risk_score,drought_risk_level,prev_month_rain,prev_month_risk_score,target_encoded
Adilabad,Adilabad Urban,2026,1,0.0,0,0.0,34.12580645161291,88.49032258064516,86,0.0,0.0,33.5,MILD,0.0,72.7,0
Adilabad,Bazarhathnoor,2023,1,0.0,0,0.0,45.309090909090905,96.18181818181819,22,0.0,0.0,23.1,MILD,0.0,0.0,0
Adilabad,Bazarhathnoor,2023,2,0.0,0,0.0,29.77894736842105,82.22631578947369,41,3.3666666666666667,-100.0,75.3,SEVERE,0.0,23.1,3
Adilabad,Bazarhathnoor,2023,3,63.0,4,28.0,38.43636363636364,87.04545454545455,48,43.23333333333333,45.7,33.9,MILD,0.0,75.3,0
Adilabad,Bazarhathnoor,2023,4,27.0,8,9.0,36.766666666666666,79.61333333333333,12,43.0,-37.2,33.0,MILD,63.0,33.9,0
Adilabad,Bazarhathnoor,2023,5,11.7,5,4.6,37.667741935483875,74.78064516129032,21,69.93333333333334,-83.3,61.9,MODERATE,27.0,33.0,1
Adilabad,Bazarhathnoor,2023,6,75.7,6,29.3,45.03333333333333,73.73333333333333,17,171.33333333333334,-55.8,47.2,MODERATE,11.7,61.9,1
Adilabad,Bazarhathnoor,2023,7,799.3,26,183.0,78.86129032258064,98.11290322580645,5,487.93333333333334,63.8,5.6,NORMAL,75.7,47.2,2
Adilabad,Bazarhathnoor,2023,8,165.4,12,63.8,75.52258064516128,96.46129032258065,8,266.93333333333334,-38.0,24.3,MILD,799.3,5.6,0
Adilabad,Bazarhathnoor,2023,9,283.9,15,69.0,78.05,98.04666666666667,7,298.56666666666666,-4.9,9.5,NORMAL,165.4,24.3,2
Adilabad,Bazarhathnoor,2023,10,0.0,0,0.0,51.39032258064516,97.73870967741935,31,86.36666666666667,-100.0,70.7,SEVERE,283.9,9.5,3
